Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Transmission_Type,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
ACURA,ILX,COMPACT,2.0,4,AS5,Automatic,PREMIUM GASOLINE,9.9,6.7,8.5,196
ACURA,ILX,COMPACT,2.4,4,M6,Manual,PREMIUM GASOLINE,11.2,7.7,9.6,221
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Automatic,PREMIUM GASOLINE,6.0,5.8,5.9,136
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Automatic,PREMIUM GASOLINE,12.7,9.1,11.1,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Automatic,PREMIUM GASOLINE,12.1,8.7,10.6,244
ACURA,RLX,MID-SIZE,3.5,6,AS6,Automatic,PREMIUM GASOLINE,11.9,7.7,10.0,230
ACURA,TL,MID-SIZE,3.5,6,AS6,Automatic,PREMIUM GASOLINE,11.8,8.1,10.1,232
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Automatic,PREMIUM GASOLINE,12.8,9.0,11.1,255
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Manual,PREMIUM GASOLINE,13.4,9.5,11.6,267
ACURA,TSX,COMPACT,2.4,4,AS5,Automatic,PREMIUM GASOLINE,10.6,7.5,9.2,212
ACURA,TSX,COMPACT,2.4,4,M6,Manual,PREMIUM GASOLINE,11.2,8.1,9.8,225
ACURA,TSX,COMPACT,3.5,6,AS5,Automatic,PREMIUM GASOLINE,12.1,8.3,10.4,239
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Automatic,PREMIUM GASOLINE,9.7,6.9,8.4,193
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Automatic,PREMIUM GASOLINE,18.0,12.6,15.6,359
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Automatic,PREMIUM GASOLINE,18.0,12.6,15.6,359
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Automatic,PREMIUM GASOLINE,17.4,11.3,14.7,338
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Manual,PREMIUM GASOLINE,18.1,12.2,15.4,354
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Automatic,PREMIUM GASOLINE,17.4,11.3,14.7,338
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Manual,PREMIUM GASOLINE,18.1,12.2,15.4,354
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Automatic,PREMIUM GASOLINE,18.0,12.6,15.6,359
AUDI,A4,COMPACT,2.0,4,AV8,Automatic,PREMIUM GASOLINE,9.9,7.4,8.8,202
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Automatic,PREMIUM GASOLINE,11.5,8.1,10.0,230
